Country,GDP,Population,ClimateDfc,PoliticalSystemcommunism,HostCountryyes,Participationyes,BirthRate,YoungFertilityRate,NetMigration
AUS,1.70E+12,26699482,0,0,0,1,11.939,8.081,137636
CAN,2.24E+12,39107046,1,0,0,1,10.006,6.985,237966
CHN,1.86E+13,1425178782,0,0,0,1,10.478,11.048,-360570
FIN,3.19E+11,5549886,1,0,0,1,8.562,4.159,13975
FRA,3.18E+12,64881830,0,0,1,1,10.862,9.407,62740
GBR,3.59E+12,67961439,0,0,0,1,11.171,10.645,152641
GER,4.73E+12,83252474,0,0,0,1,9.322,7.417,144859
ITA,2.28E+12,58697744,0,0,0,1,7.026,3.878,109999
JPN,4.29E+12,122631432,0,0,0,1,6.995,2.903,59967
KOR,1.78E+12,51741963,0,0,0,1,6.743,2.211,22197
NED,1.17E+12,17671125,0,0,0,1,10.168,2.553,20481
RUS,1.92E+12,143957079,1,1,0,1,11.108,27.6,90117
SUI,9.98E+11,8851431,0,0,0,1,9.994,2.212,40017
SWE,6.62E+11,10673669,1,0,0,1,11.609,3.345,31103
USA,2.80E+13,341814420,0,0,0,1,12.009,15.83,946142
