Country,GDP,PopMalePct,PopGrowth,DeathRate,BirthRate
AUT,5.52E+11,49.23261,0.17,10.109,9.638
CAN,2.24E+12,49.69614,0.82,8.139,9.873
CHN,1.88E+13,51.03096,-0.08,8.341,10.143
FIN,3.16E+11,49.41222,0.06,10.385,8.521
FRA,3.18E+12,48.32527,0.18,9.619,10.757
GER,4.70E+12,49.34194,-0.08,11.788,9.219
ITA,2.28E+12,48.76373,-0.32,11.211,7.006
JPN,4.29E+12,48.59947,-0.56,12.146,6.958
KOR,1.78E+12,49.92193,-0.12,7.313,6.692
NED,1.16E+12,49.70241,0.28,9.535,10.141
NOR,5.68E+11,50.45883,0.71,8.012,11.077
RUS,1.90E+12,46.44247,-0.3,13.229,10.667
SUI,9.78E+11,49.65905,0.58,8.432,9.819
SWE,6.21E+11,50.39757,0.54,9.216,11.362
USA,2.80E+13,49.5132,0.52,9.333,11.98
